Universidad,Tipo,Especialidad.SubEspecialidad,Modalidad,Serum,SNCDS,X1er.Niv.,X5to.Sup.,Prom.Pre,ENAM,Examen,Factor.A.,Nota.Final,Sede
URP,Esp.,CARDIOLOGIA,Libre,10,NA,4,NA,3.623,NA,55.2,15.2,88.023,NA
URP,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.764,1.5,48,15.2,74.464,NA
UNMSM,Esp.,NEUROCIRUGIA,Libre,10,NA,NA,1,1.87,2,50.8,15.2,80.87,NA
UNCP,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,1,1.905,1.5,43.6,15.2,73.205,Hospital Regional Docente Clínico Quirúrgico Daniel Alcides Carrión de Huancayo
UNMSM,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,2.008,1,40,15.2,68.208,NA
UNA,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.792,1,53.2,15.2,79.192,Hospital Nivel III Puno
UNMSM,Esp.,NEUROCIRUGIA,Libre,10,NA,NA,1,2.107,1.5,53.6,15.2,83.407,NA
USMP,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.631,NA,27.2,15.2,54.031,NA
UPCH,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,1,0,NA,34.8,15.2,61,NA
UNMSM,Esp.,CIRUGIA GENERAL,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,8,NA,NA,NA,1.525,NA,42.8,21.2,73.525,Hospital Nacional Arzobispo Loayza
UNA,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,6,NA,NA,NA,1.531,NA,36.8,15.2,59.531,NA
USMP,Esp.,NEUROLOGIA,Libre,10,NA,NA,NA,1.59,1,51.6,15.2,79.39,Hospital Nacional Hipólito Unanue
UPSJB,Esp.,DERMATOLOGIA,Libre,10,NA,NA,1,1.828,2,50.4,15.2,80.428,Hospital Vitarte
UNPRG,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Cautiva/ESSALUD,10,0,NA,NA,3.191,NA,37.2,21.2,71.591,NA
USMP,Esp.,NEUROLOGIA,Libre,8,NA,1,1,2.195,NA,42,15.2,69.395,Hospital Antonio Lorena del Cusco
CENTRO 3,Sub.,CIRUGIA DE RETINA Y VITREO,Libre,8,NA,NA,1,2.179,NA,49.6,5.6,66.379,NA
UNPRG,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.509,1.5,50,15.2,76.209,NA
USMP,Esp.,PATOLOGIA CLINICA,Libre,8,NA,NA,NA,1.635,NA,40,15.2,64.835,NA
UNFV,Esp.,NEUROLOGIA,Libre,6,NA,NA,1,3.853,NA,55.6,15.2,81.653,Instituto Nacional de Ciencias Neurológicas
UNSAAC,Esp.,MEDICINA INTERNA,Libre,10,NA,1,NA,1.608,NA,23.6,15.2,51.408,NA
UPAO,Esp.,GASTROENTEROLOGIA,Libre,6,NA,NA,1,1.898,1,44.8,15.2,69.898,Hospital Regional de Huacho
UCSM,Esp.,OTORRINOLARINGOLOGIA,Libre,8,NA,NA,NA,1.561,1,38.8,15.2,64.561,NA
URP,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.759,1.5,45.2,15.2,73.659,NA
UNSA,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.571,NA,23.6,15.2,50.371,NA
UPSJB,Esp.,DERMATOLOGIA,Libre,10,NA,NA,NA,1.569,1,45.2,15.2,72.969,NA
URP,Esp.,ADMINISTRACION Y GESTION EN SALUD,Libre,10,NA,NA,NA,2.005,1,40.4,15.2,68.605,Centro de Salud Peru Corea Bellavista
CENTRO 2,Sub.,ENDOCRINOLOGIA PEDIATRICA,Libre,10,NA,NA,NA,1.758,1.5,56,5.6,74.858,Hospital Nacional Edgardo Rebagliati Martins
UNFV,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.72,NA,51.6,15.2,78.52,Hospital Nacional Hipólito Unanue
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,2,NA,1.578,NA,36.8,15.2,65.578,NA
URP,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,1,1.843,1.5,50.4,15.2,79.943,NA
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,1,NA,2.145,NA,41.2,15.2,69.545,NA
UNMSM,Esp.,NEFROLOGIA,Libre,10,NA,NA,NA,3.722,NA,NA,15.2,NA,NA
USMP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.808,2,47.2,15.2,76.208,NA
UNT,Esp.,MEDICINA ONCOLOGICA,Libre,10,NA,NA,1,1.79,1,42.4,15.2,71.39,Instituto Regional De Enfermedades Neoplásicas del Norte - IREN Norte
UNMSM,Esp.,REUMATOLOGIA,Libre,10,NA,NA,NA,1.892,2,51.2,15.2,80.292,NA
URP,Esp.,OTORRINOLARINGOLOGIA,Libre,8,NA,NA,NA,1.772,2,57.6,15.2,84.572,NA
URP,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.734,1,34.4,15.2,60.334,NA
UNMSM,Esp.,GASTROENTEROLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,3,NA,3.485,NA,32.8,21.2,70.485,Hospital Nacional Hipólito Unanue
USMP,Esp.,PSIQUIATRIA,Libre,8,NA,NA,NA,1.85,1,41.6,15.2,67.65,NA
UCV,Esp.,NEFROLOGIA,Libre,6,NA,NA,NA,1.816,NA,38.8,15.2,61.816,NA
USMP,Esp.,PSIQUIATRIA,Libre,6,NA,NA,NA,1.65,NA,47.2,15.2,70.05,NA
UNMSM,Esp.,DERMATOLOGIA,Libre,8,NA,NA,NA,1.813,1,40.4,15.2,66.413,NA
USMP,Esp.,CARDIOLOGIA,Libre,10,NA,NA,NA,1.773,1.5,52,15.2,80.473,NA
UPSJB,Esp.,DERMATOLOGIA,Libre,10,NA,NA,1,1.5,NA,37.2,15.2,64.9,NA
UNT,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.684,NA,38,15.2,62.884,NA
UNT,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.784,1,45.2,15.2,73.184,NA
UPCH,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,NA,2.01,1.5,53.6,15.2,82.31,NA
URP,Esp.,OFTALMOLOGIA,Libre,10,NA,2,NA,1.785,NA,34,15.2,62.985,NA
UNT,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.483,NA,34.4,15.2,61.083,NA
UNMSM,Esp.,NEUROLOGIA,Libre,8,NA,NA,1,2.138,2,62,15.2,90.338,Hospital Alberto Sabogal Sologuren
USMP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.755,2,54.4,15.2,83.355,Hospital Nacional Sergio Bernales
UNMSM,Esp.,NEUMOLOGIA,Libre,10,NA,NA,NA,1.851,1.5,48.8,15.2,77.351,Hospital Nacional Dos de Mayo
UNMSM,Esp.,OFTALMOLOGIA,Libre,8,NA,NA,NA,1.883,1,60.8,15.2,86.883,NA
UNFV,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,3.335,NA,36.4,15.2,62.935,NA
UNMSM,Esp.,NEUROCIRUGIA,Libre,10,NA,NA,NA,1.77,1,45.6,15.2,73.57,NA
UPCH,Esp.,NEFROLOGIA,Libre,10,NA,NA,NA,1.799,1,52.4,15.2,80.399,Hospital Nacional Arzobispo Loayza
UPLA,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,1.718,1,45.6,15.2,71.518,Hospital Regional Docente Clínico Quirúrgico Daniel Alcides Carrión de Huancayo
UNMSM,Esp.,OTORRINOLARINGOLOGIA,Libre,8,NA,NA,NA,1.839,1.5,40.4,15.2,66.939,NA
URP,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.726,1.5,48.4,15.2,76.826,NA
UPAO,Esp.,CIRUGIA PLASTICA,Libre,10,NA,NA,NA,1.661,1,50.4,15.2,78.261,NA
URP,Esp.,OFTALMOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,2.757,NA,35.6,21.2,73.557,Hospital María Auxiliadora
UNMSM,Esp.,PSIQUIATRIA,Libre,8,NA,NA,NA,1.675,NA,38.4,15.2,63.275,NA
UNMSM,Esp.,REUMATOLOGIA,Libre,10,NA,NA,NA,1.806,1,43.2,15.2,71.206,NA
UNMSM,Esp.,RADIOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,3.683,NA,37.2,21.2,76.083,Hospital Nacional Dos de Mayo
USMP,Esp.,CARDIOLOGIA,Libre,10,NA,NA,NA,2.063,1.5,52.8,15.2,81.563,NA
UPAO,Esp.,DERMATOLOGIA,Libre,10,NA,NA,1,1.661,1.5,49.6,15.2,78.961,NA
URP,Esp.,PEDIATRIA,Cautiva/ESSALUD,5,4,NA,NA,3.323,NA,38,21.2,71.523,Hospital Alberto Sabogal Sologuren
URP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.837,1,52,15.2,80.037,NA
URP,Esp.,OFTALMOLOGIA,Cautiva/Ejercito,6,NA,1,NA,1.654,NA,37.2,21.2,67.054,Hospital Militar Central
UNMSM,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,1,1.754,1,46.8,15.2,75.754,NA
UPAO,Esp.,DERMATOLOGIA,Libre,8,NA,NA,1,1.818,1,44.4,15.2,71.418,NA
CENTRO 2,Sub.,NEONATOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,1,NA,3.308,NA,57.6,8.8,80.708,Hospital Nacional Dos de Mayo
UNMSM,Esp.,ENDOCRINOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,3.254,NA,30.4,21.2,68.854,Hospital Nacional Cayetano Heredia
UNMSM,Esp.,CIRUGIA DE TORAX Y CARDIOVASCULAR,Libre,10,NA,NA,NA,1.709,NA,43.6,15.2,70.509,NA
UNC,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,2.23,NA,42,15.2,69.43,Hospital Regional Docente Cajamarca
URP,Esp.,CIRUGIA DE CABEZA Y CUELLO,Libre,10,NA,NA,NA,1.873,1,51.2,15.2,79.273,NA
UPAO,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,6,NA,NA,NA,1.467,NA,32,15.2,54.667,NA
UNMSM,Esp.,CARDIOLOGIA,Libre,10,NA,NA,NA,1.818,2,55.6,15.2,84.618,Hospital Nacional Daniel Alcides Carrión
CENTRO 3,Esp.,MEDICINA FAMILIAR Y COMUNITARIA,Libre,8,NA,NA,NA,1.658,NA,26,15.2,50.858,NA
UNMSM,Esp.,REUMATOLOGIA,Libre,8,NA,NA,NA,2.09,2,49.2,15.2,76.49,NA
URP,Esp.,RADIOLOGIA,Libre,10,NA,1,NA,1.727,NA,48,15.2,75.927,NA
UNMSM,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.739,NA,47.2,15.2,74.139,NA
URP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,1,1.905,1.5,42,15.2,71.605,NA
CENTRO 1,Sub.,"CIRUGIA DE COLON,  RECTO Y ANO",Libre,10,NA,NA,NA,3.309,NA,51.2,5.6,70.109,NA
USMP,Esp.,NEUMOLOGIA,Libre,10,NA,NA,NA,1.553,1.5,49.2,15.2,77.453,NA
UCSM,Esp.,OTORRINOLARINGOLOGIA,Libre,8,NA,NA,1,1.963,1.5,54,15.2,81.663,Hospital Carlos Alberto Seguín Escobedo - Arequipa
URP,Esp.,NEUROCIRUGIA,Libre,10,NA,NA,NA,1.845,1.5,51.2,15.2,79.745,NA
URP,Esp.,CIRUGIA DE TORAX Y CARDIOVASCULAR,Libre,8,NA,NA,NA,2.013,1.5,53.6,15.2,80.313,NA
UNMSM,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,1,1.749,1,48.8,15.2,77.749,NA
USMP,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.905,1.5,55.6,15.2,82.205,NA
UPCH,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.871,1.5,49.2,15.2,77.771,Hospital Nacional Cayetano Heredia
UCSM,Esp.,PSIQUIATRIA,Libre,6,NA,NA,NA,1.704,1,34.4,15.2,58.304,NA
URP,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.709,NA,37.6,15.2,64.509,NA
UNSAAC,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.82,1,42.4,15.2,70.42,NA
UPAO,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,1.735,NA,36.4,15.2,61.335,NA
UNMSM,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.771,1.5,48.8,15.2,75.271,NA
UPCH,Esp.,NEUROCIRUGIA,Libre,10,NA,NA,NA,1.625,1,52.4,15.2,80.225,Hospital Nacional Hipólito Unanue
UNSA,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,NA,1.801,1,42.4,15.2,68.401,Hospital Regional Honorio Delgado Espinoza - Arequipa
UNT,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,1.781,1,44.4,15.2,72.381,NA
URP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,1,1,1.841,1.5,51.2,15.2,81.741,NA
UNMSM,Esp.,CARDIOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,5,4,4,NA,3.577,NA,46,21.2,83.777,Hospital Nacional Arzobispo Loayza
UCSUR,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,1,1.905,1.5,43.6,15.2,73.205,NA
CENTRO 1,Esp.,NEONATOLOGIA,Libre,6,NA,NA,NA,1.725,1,31.2,15.2,55.125,NA
UNMSM,Esp.,ENDOCRINOLOGIA,Libre,10,NA,NA,NA,1.65,1,36,15.2,63.85,NA
UNFV,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.784,1,53.2,15.2,81.184,NA
USMP,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.914,1,54.8,15.2,82.914,Instituto Nacional de Salud del Niño
UNMSM,Esp.,ANATOMIA PATOLOGICA,Libre,8,NA,NA,NA,1.62,NA,36.8,15.2,61.62,NA
UPCH,Esp.,NEUROCIRUGIA,Libre,8,NA,NA,NA,1.747,1,43.6,15.2,69.547,NA
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,NA,1,1.873,1.5,47.6,15.2,77.173,NA
URP,Esp.,CIRUGIA DE TORAX Y CARDIOVASCULAR,Libre,10,NA,NA,1,1.716,2,59.2,15.2,89.116,Instituto Nacional Cardiovascular Carlos A. Peschiera - INCOR
URP,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,1,1.95,2,56.8,15.2,86.95,Hospital Alberto Sabogal Sologuren
UCSM,Esp.,UROLOGIA,Libre,8,NA,NA,NA,1.621,NA,28.8,15.2,53.621,NA
CENTRO 2,Sub.,CARDIOLOGIA PEDIATRICA,Libre,10,NA,NA,NA,2.345,1,55.2,5.6,74.145,Instituto Nacional de Salud del Niño
UNSA,Esp.,UROLOGIA,Libre,6,NA,NA,NA,1.679,1.5,38.8,15.2,63.179,NA
UPSJB,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,8,NA,1,NA,3.555,NA,41.2,21.2,74.955,Hospital Carlos Lanfranco La Hoz - Ex Hospital Puente Piedra
UPCH,Esp.,NEUMOLOGIA,Libre,10,NA,2,NA,3.658,NA,41.2,15.2,72.058,NA
UNMSM,Esp.,PEDIATRIA,Libre,8,NA,NA,1,1.851,1.5,52.4,15.2,79.951,Hospital Nacional Docente Madre Niño San Bartolome
UNP,Esp.,ANESTESIOLOGIA,Libre,6,NA,NA,NA,1.583,1,32.8,15.2,56.583,NA
UNMSM,Esp.,GASTROENTEROLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,2,NA,1.579,NA,34.8,21.2,69.579,Hospital de Emergencias Jose Casimiro Ulloa
UNMSM,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,10,NA,NA,1,1.864,1.5,56.8,15.2,86.364,Hospital Nacional Guillermo Almenara Irigoyen
USMP,Esp.,PEDIATRIA,Libre,10,NA,NA,1,1.979,1.5,42.8,15.2,72.479,NA
UPAO,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.457,1,49.6,15.2,77.257,NA
UNT,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,2,1,2.33,NA,50.4,15.2,78.93,Hospital Belén de Trujillo
UNMSM,Esp.,CIRUGIA PLASTICA,Libre,10,NA,NA,NA,1.686,1,56,15.2,83.886,NA
URP,Esp.,PEDIATRIA,Libre,8,NA,NA,1,1.949,1,50.4,15.2,77.549,Instituto Nacional de Salud del Niño
UPCH,Esp.,NEUMOLOGIA,Libre,10,NA,NA,1,1.868,1,51.2,15.2,80.268,Hospital Nacional Cayetano Heredia
UPAO,Esp.,RADIOLOGIA,Libre,10,NA,3,NA,1.769,1,48.4,15.2,79.369,Hospital de Alta Complejidad Virgen de la Puerta
USMP,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.77,1,48,15.2,75.97,NA
UNFV,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,10,NA,NA,NA,1.911,2,44.8,15.2,73.911,NA
USMP,Esp.,NEUMOLOGIA,Libre,8,NA,NA,1,1.779,NA,44.8,15.2,70.779,NA
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.828,1,50.4,15.2,78.428,Hospital Nacional Daniel Alcides Carrión
USMP,Esp.,NEUROLOGIA,Libre,6,NA,NA,NA,1.873,NA,36.4,15.2,59.473,NA
UNMSM,Esp.,CARDIOLOGIA,Libre,10,NA,NA,NA,1.924,2,56.4,15.2,85.524,Hospital Nacional Arzobispo Loayza
CENTRO 3,Sub.,CIRUGIA PLASTICA,Libre,8,NA,NA,NA,1.89,1,52.8,5.6,69.29,NA
USMP,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,2.23,NA,33.6,15.2,61.03,NA
USMP,Esp.,CIRUGIA DE CABEZA Y CUELLO,Libre,10,NA,NA,NA,1.552,NA,42,15.2,68.752,NA
USMP,Esp.,GASTROENTEROLOGIA,Libre,8,NA,NA,NA,1.868,1.5,48.8,15.2,75.368,NA
UNC,Esp.,PEDIATRIA,Cautiva/MINSA en sedes de Regiones mas R. Lima y R. Callao/CAJAMARCA,10,NA,2,NA,1.591,1,38,21.2,73.791,Hospital Regional Docente Cajamarca
UNT,Esp.,NEUMOLOGIA,Libre,6,NA,NA,1,1.848,1,51.6,15.2,76.648,Hospital Regional Docente de Trujillo
USMP,Esp.,RADIOLOGIA,Cautiva/Naval,8,NA,NA,NA,1.719,NA,34,21.2,64.919,Centro Medico Naval Cirujano Mayor Santiago Tavara
UNMSM,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,1,1.722,1.5,46.4,15.2,75.822,NA
UPAO,Esp.,CIRUGIA ONCOLOGICA,Libre,8,NA,NA,NA,1.413,1,40,15.2,65.613,NA
UNMSM,Esp.,CIRUGIA PLASTICA,Libre,10,NA,NA,1,1.877,1.5,58.8,15.2,88.377,NA
USMP,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.91,1.5,56.4,15.2,85.01,Instituto Nacional de Salud del Niño
UNSA,Esp.,GASTROENTEROLOGIA,Libre,8,NA,NA,NA,1.643,1,49.2,15.2,75.043,NA
UCSUR,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.883,1.5,46,15.2,74.583,Hospital Nacional Arzobispo Loayza
UNMSM,Esp.,ADMINISTRACION Y GESTION EN SALUD,Libre,10,NA,NA,1,1.853,1,46.4,15.2,75.453,Hospital Nacional Docente Madre Niño San Bartolome
UPCH,Esp.,OFTALMOLOGIA,Libre,8,NA,NA,1,1.709,1.5,49.6,15.2,77.009,NA
UNSA,Esp.,PEDIATRIA,Libre,10,NA,NA,1,1.945,2,55.6,15.2,85.745,Hogar Clinica San Juan de Dios - Arequipa
UNMSM,Esp.,UROLOGIA,Libre,10,NA,NA,NA,1.669,1.5,48,15.2,76.369,NA
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,NA,1,1.858,1.5,52.8,15.2,82.358,Instituto Nacional de Salud del Niño
UPAO,Esp.,DERMATOLOGIA,Libre,8,NA,NA,NA,1.697,1.5,56.4,15.2,82.797,Hospital Hermilio Valdizan
CENTRO 2,Esp.,INMUNOLOGIA Y ALERGIA,Libre,6,NA,NA,1,1.775,1.5,40.4,15.2,65.875,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,1,1.909,1.5,56.8,15.2,86.409,Hospital Nacional Guillermo Almenara Irigoyen
UNT,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,1.611,1.5,55.6,15.2,83.911,Hospital Víctor Lazarte Echegaray - Trujillo
UNMSM,Esp.,ADMINISTRACION Y GESTION EN SALUD,Libre,8,NA,NA,NA,1.55,NA,42.4,15.2,67.15,NA
UNSLGI,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.799,1,36.4,15.2,64.399,Hospital Santa María del Socorro ICA
UPSJB,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,1,1.819,1.5,47.6,15.2,77.119,Hospital Carlos Lanfranco La Hoz - Ex Hospital Puente Piedra
UNFV,Esp.,CARDIOLOGIA,Libre,10,NA,NA,1,1.926,1.5,54.4,15.2,84.026,NA
USMP,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,NA,1.629,1.5,35.6,15.2,61.929,NA
USMP,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.56,1.5,44,15.2,70.26,NA
CENTRO 1,Esp.,MEDICINA DEL DEPORTE,Libre,10,NA,NA,1,2.028,1.5,55.2,15.2,84.928,Hospital Nacional Cayetano Heredia
USMP,Esp.,CIRUGIA PEDIATRICA,Libre,8,NA,NA,NA,1.633,NA,34,15.2,58.833,NA
UPAO,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,NA,1.634,1,44.4,15.2,72.234,NA
UNMSM,Esp.,REUMATOLOGIA,Libre,10,NA,NA,NA,2.03,1.5,48.8,15.2,77.53,NA
UNMSM,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.91,1,44.4,15.2,72.51,NA
UNFV,Esp.,CARDIOLOGIA,Libre,8,NA,NA,NA,1.702,1,50.8,15.2,76.702,NA
UNSA,Esp.,OTORRINOLARINGOLOGIA,Libre,8,NA,NA,NA,1.675,1,36.4,15.2,62.275,NA
UNSA,Esp.,NEFROLOGIA,Libre,10,NA,NA,NA,1.709,1,32,15.2,59.909,NA
USMP,Esp.,CARDIOLOGIA,Libre,8,NA,NA,NA,1.63,NA,34,15.2,58.83,NA
UCSM,Esp.,CIRUGIA GENERAL,Libre,6,NA,NA,NA,1.619,NA,36.4,15.2,59.219,NA
USMP,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.762,1,34.4,15.2,62.362,NA
UNMSM,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.915,1.5,44,15.2,72.615,NA
URP,Esp.,ANESTESIOLOGIA,Libre,6,NA,NA,NA,1.604,NA,28,15.2,50.804,NA
UNPRG,Esp.,GASTROENTEROLOGIA,Libre,8,NA,NA,NA,1.527,1,37.2,15.2,62.927,NA
UNMSM,Esp.,MEDICINA INTERNA,Libre,8,NA,NA,NA,1.608,NA,45.6,15.2,70.408,Hospital Nacional Arzobispo Loayza
UPAO,Esp.,PEDIATRIA,Libre,6,NA,NA,NA,1.769,NA,39.6,15.2,62.569,NA
UNSLGI,Esp.,RADIOLOGIA,Libre,8,NA,NA,NA,1.567,NA,22.8,15.2,47.567,NA
CENTRO 1,Sub.,ENDOCRINOLOGIA PEDIATRICA,Libre,10,NA,NA,NA,1.778,1,60,5.6,78.378,Hospital Nacional Cayetano Heredia
UPCH,Esp.,CIRUGIA ONCOLOGICA,Libre,10,NA,NA,1,1.927,1.5,57.2,15.2,86.827,Instituto Nacional de Enfermedades Neoplásicas
UNCP,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,1.835,1,42,15.2,70.035,Hospital Regional Docente Materno Infantil - El Carmen Huancayo
UNSAAC,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.689,NA,45.2,15.2,72.089,NA
UNMSM,Esp.,MEDICINA INTERNA,Libre,6,NA,4,NA,3.608,NA,40.8,15.2,69.608,NA
UNT,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.847,1.5,50.8,15.2,79.347,Hospital Regional Docente de Trujillo
USMP,Esp.,RADIOLOGIA,Libre,8,NA,NA,NA,1.792,1,46,15.2,71.992,Hospital Nacional Sergio Bernales
UPAO,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.597,1.5,50.4,15.2,78.697,Hospital Tarapoto
UCV,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.614,1,41.6,15.2,67.414,NA
UPCH,Esp.,GERIATRIA,Libre,8,NA,NA,NA,1.699,NA,49.6,15.2,74.499,Hospital Nacional Cayetano Heredia
UNFV,Esp.,PEDIATRIA,Libre,8,NA,NA,1,1.749,1.5,49.6,15.2,77.049,NA
URP,Esp.,GERIATRIA,Libre,6,NA,NA,NA,1.69,NA,39.2,15.2,62.09,Hospital Clínica Geriátrica San Isidro Labrador
URP,Esp.,NEFROLOGIA,Libre,10,NA,NA,NA,1.842,1,41.2,15.2,69.242,NA
USMP,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.715,1,38.4,15.2,66.315,NA
UNMSM,Esp.,CIRUGIA PLASTICA,Libre,10,NA,NA,NA,1.732,1.5,54,15.2,82.432,Hospital Regional de Huacho
USMP,Esp.,MEDICINA ONCOLOGICA,Libre,10,NA,NA,1,2.058,1.5,46.4,15.2,76.158,Hospital Nacional Arzobispo Loayza
UPCH,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.708,NA,38.8,15.2,65.708,NA
UNMSM,Esp.,UROLOGIA,Libre,8,NA,NA,NA,1.975,1,45.6,15.2,71.775,NA
UNSA,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.551,1,30.8,15.2,58.551,NA
UNMSM,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,1,2.042,2,56,15.2,86.242,Hospital Nacional Dos de Mayo
URP,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,10,NA,NA,NA,1.64,1.5,45.6,15.2,73.94,NA
UNCP,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.881,1,44,15.2,72.081,Hospital Nacional Ramiro Prialé Prialé - IV Huancayo
URP,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.952,2,54.8,15.2,83.952,Hospital Nacional Edgardo Rebagliati Martins
URP,Esp.,PATOLOGIA CLINICA,Libre,10,NA,NA,NA,1.649,NA,31.6,15.2,58.449,NA
UCSM,Esp.,ANATOMIA PATOLOGICA,Libre,0,NA,NA,NA,1.784,NA,40.4,15.2,57.384,NA
UPAO,Esp.,REUMATOLOGIA,Libre,8,NA,NA,NA,1.484,1,40.4,15.2,66.084,NA
UPCH,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,1,1.823,1.5,52,15.2,79.523,Instituto Nacional de Enfermedades Neoplásicas
